Chronological Order,King,Ahom Name,Title / Epithet,Dynasty House,Historical Era,Reign Start Year,Reign End Year,Reign Period,Event,Event Year,Event Numeric Year,Event Category,Capital,Image File Name,Image Version,Image Link,Detailed Event Description,Key Historical Figures
1,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Sukaphaa Departs Mong Mao,1215–1228,1215,Dynastic Foundation / Migration,Mong Mao / Charaideo,01_Sukaphaa_Departs_Mong_Mao_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/01_Sukaphaa_Departs_Mong_Mao_v01.png,"Prince Sukaphaa leaves his ancestral kingdom of Mong Mao following a succession dispute, leading 9,000 followers, noblemen, priests (Deodhais), horses, and two royal war elephants across Upper Burma towards Assam.","Chaolung Sukaphaa, Thaomung Borgohain, Thaomung Burhagohain"
2,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Sukaphaa Departs Mong Mao,1215–1228,1215,Dynastic Foundation / Migration,Mong Mao / Charaideo,01_Sukaphaa_Departs_Mong_Mao_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/01_Sukaphaa_Departs_Mong_Mao_v02.png,"Prince Sukaphaa leaves his ancestral kingdom of Mong Mao following a succession dispute, leading 9,000 followers, noblemen, priests (Deodhais), horses, and two royal war elephants across Upper Burma towards Assam.","Chaolung Sukaphaa, Thaomung Borgohain, Thaomung Burhagohain"
3,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Sukaphaa Departs Mong Mao,1215–1228,1215,Dynastic Foundation / Migration,Mong Mao / Charaideo,01_Sukaphaa_Departs_Mong_Mao_v03.png,v03,file:///home/angsuman/extra_spac/AHOM/images/01_Sukaphaa_Departs_Mong_Mao_v03.png,"Prince Sukaphaa leaves his ancestral kingdom of Mong Mao following a succession dispute, leading 9,000 followers, noblemen, priests (Deodhais), horses, and two royal war elephants across Upper Burma towards Assam.","Chaolung Sukaphaa, Thaomung Borgohain, Thaomung Burhagohain"
4,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Sukaphaa Departs Mong Mao,1215–1228,1215,Dynastic Foundation / Migration,Mong Mao / Charaideo,01_Sukaphaa_Departs_Mong_Mao_v04.png,v04,file:///home/angsuman/extra_spac/AHOM/images/01_Sukaphaa_Departs_Mong_Mao_v04.png,"Prince Sukaphaa leaves his ancestral kingdom of Mong Mao following a succession dispute, leading 9,000 followers, noblemen, priests (Deodhais), horses, and two royal war elephants across Upper Burma towards Assam.","Chaolung Sukaphaa, Thaomung Borgohain, Thaomung Burhagohain"
5,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Crossing the Patkai Hills,1228,1228,Expedition / Conquest,Patkai / Khamjang,02_Crossing_the_Patkai_Hills_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/02_Crossing_the_Patkai_Hills_v01.png,"Sukaphaa and his vanguard conquer the steep, dense subtropical mountain rainforests of the Patkai Range (Pangsau Pass), outmaneuvering hostile hill tribes and arriving at Khamjang on the border of Assam.","Chaolung Sukaphaa, Tai military vanguard, Khamjang Naga chiefs"
6,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Crossing the Patkai Hills,1228,1228,Expedition / Conquest,Patkai / Khamjang,02_Crossing_the_Patkai_Hills_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/02_Crossing_the_Patkai_Hills_v02.png,"Sukaphaa and his vanguard conquer the steep, dense subtropical mountain rainforests of the Patkai Range (Pangsau Pass), outmaneuvering hostile hill tribes and arriving at Khamjang on the border of Assam.","Chaolung Sukaphaa, Tai military vanguard, Khamjang Naga chiefs"
7,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Crossing the Patkai Hills,1228,1228,Expedition / Conquest,Patkai / Khamjang,02_Crossing_the_Patkai_Hills_v03.png,v03,file:///home/angsuman/extra_spac/AHOM/images/02_Crossing_the_Patkai_Hills_v03.png,"Sukaphaa and his vanguard conquer the steep, dense subtropical mountain rainforests of the Patkai Range (Pangsau Pass), outmaneuvering hostile hill tribes and arriving at Khamjang on the border of Assam.","Chaolung Sukaphaa, Tai military vanguard, Khamjang Naga chiefs"
8,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Crossing the Patkai Hills,1228,1228,Expedition / Conquest,Patkai / Khamjang,02_Crossing_the_Patkai_Hills_v04.png,v04,file:///home/angsuman/extra_spac/AHOM/images/02_Crossing_the_Patkai_Hills_v04.png,"Sukaphaa and his vanguard conquer the steep, dense subtropical mountain rainforests of the Patkai Range (Pangsau Pass), outmaneuvering hostile hill tribes and arriving at Khamjang on the border of Assam.","Chaolung Sukaphaa, Tai military vanguard, Khamjang Naga chiefs"
9,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Negotiation and Settlement with Naga Chiefs,1228–1230,1228,Diplomacy / Frontier Pacification,Namrup / Tipam,03_Sukaphaa_Negotiates_with_Naga_Chiefs.png,v01,file:///home/angsuman/extra_spac/AHOM/images/03_Sukaphaa_Negotiates_with_Naga_Chiefs.png,"Descending into Namrup, Sukaphaa establishes firm frontier peace through tactical deterrence and diplomatic accords with eastern Naga chieftains.","Chaolung Sukaphaa, Eastern Naga chieftains"
10,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,First View of the Brahmaputra Valley,1228,1228,Exploration / Discovery,Tipam,04_First_View_of_the_Brahmaputra_Valley.png,v01,file:///home/angsuman/extra_spac/AHOM/images/04_First_View_of_the_Brahmaputra_Valley.png,"Sukaphaa and scouts view the immense, fertile Brahmaputra River plain ('Mung Dun Sun Kham' - Country of Golden Gardens), recognizing its potential for wet-rice cultivation.","Chaolung Sukaphaa, Tai scouts"
